基隆市,3;
新北市,85;
台北市,107;
桃園市,36;
新竹縣,6;
宜蘭縣,2;
苗栗縣,3;
台中市,35;
南投縣,2;
花蓮縣,0;
彰化縣,18;
雲林縣,4;
嘉義縣,5;
台南市,13;
高雄市,27;
台東縣,0;
屏東縣,7;
澎湖縣,0;
金門縣,0;
連江縣,0
